Utilities;HouseStyle;OverallCond;ExterCond;HeatingQC;CentralAir;FullBath;KitchenQual;TotRmsAbvGrd;FireplaceQu;SaleCondition
AllPub;2Story;5;TA;Ex;Y;2;Gd;8;NA;Normal
AllPub;1Story;8;TA;Ex;Y;2;TA;6;TA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;6;TA;Normal
AllPub;2Story;5;TA;Gd;Y;1;Gd;7;Gd;Abnorml
AllPub;2Story;5;TA;Ex;Y;2;Gd;9;TA;Normal
AllPub;1.5Fin;5;TA;Ex;Y;1;TA;5;NA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;7;Gd;Normal
AllPub;2Story;6;TA;Ex;Y;2;TA;7;TA;Normal
AllPub;1.5Fin;5;TA;Gd;Y;2;TA;8;TA;Abnorml
AllPub;1.5Unf;6;TA;Ex;Y;1;TA;5;TA;Normal
AllPub;1Story;5;TA;Ex;Y;1;TA;5;NA;Normal
AllPub;2Story;5;TA;Ex;Y;3;Ex;11;Gd;Partial
AllPub;1Story;6;TA;TA;Y;1;TA;4;NA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;7;Gd;Partial
AllPub;1Story;5;TA;TA;Y;1;TA;5;Fa;Normal
AllPub;1.5Unf;8;TA;Ex;Y;1;TA;5;NA;Normal
AllPub;1Story;7;TA;Ex;Y;1;TA;5;TA;Normal
AllPub;1Story;5;TA;TA;Y;2;TA;6;NA;Normal
AllPub;1Story;5;TA;Ex;Y;1;Gd;6;NA;Normal
AllPub;1Story;6;TA;TA;Y;1;TA;6;NA;Abnorml
AllPub;2Story;5;TA;Ex;Y;3;Gd;9;Gd;Partial
AllPub;1.5Unf;7;TA;Ex;Y;1;Gd;6;Gd;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;7;Gd;Normal
AllPub;1Story;7;TA;TA;Y;1;TA;6;TA;Normal
AllPub;1Story;8;Gd;Ex;Y;1;Gd;6;TA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;7;Gd;Normal
AllPub;1Story;7;TA;TA;Y;1;Gd;5;NA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;7;Gd;Normal
AllPub;1Story;6;TA;TA;Y;1;TA;6;Gd;Normal
AllPub;1Story;6;TA;Fa;N;1;Fa;4;NA;Normal
AllPub;2Story;4;Fa;TA;N;1;TA;6;NA;Normal
AllPub;1Story;6;TA;Gd;Y;1;Gd;6;NA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;7;NA;Normal
AllPub;1Story;5;TA;Gd;Y;1;Gd;6;Gd;Normal
AllPub;1Story;5;TA;Ex;Y;2;Ex;6;Gd;Normal
AllPub;2Story;5;TA;Ex;Y;3;Gd;9;Gd;Normal
AllPub;1Story;5;TA;Ex;Y;1;TA;6;NA;Normal
AllPub;1Story;6;TA;Gd;Y;1;TA;5;TA;Normal
AllPub;1Story;7;Gd;TA;Y;1;Gd;5;NA;Abnorml
AllPub;1Story;5;TA;TA;N;2;Fa;6;NA;AdjLand
AllPub;1Story;5;TA;Ex;Y;2;TA;6;TA;Abnorml
AllPub;1Story;6;Gd;Gd;Y;1;TA;5;Gd;Normal
AllPub;SFoyer;7;TA;Gd;Y;1;Gd;5;NA;Normal
AllPub;1Story;6;TA;TA;Y;1;TA;5;NA;Normal
AllPub;1Story;6;TA;Ex;Y;1;TA;6;NA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Ex;6;Gd;Normal
AllPub;1.5Fin;5;TA;Ex;Y;1;Gd;6;Ex;Abnorml
AllPub;1Story;5;TA;Ex;Y;2;Gd;7;NA;Normal
AllPub;2Story;5;TA;Gd;Y;2;TA;8;NA;Partial
AllPub;1Story;7;TA;Ex;Y;1;TA;6;NA;Normal
AllPub;2Story;6;TA;Gd;Y;2;TA;6;NA;Normal
AllPub;1.5Fin;6;TA;TA;Y;1;TA;6;Gd;Normal
AllPub;1Story;5;TA;TA;N;1;TA;5;NA;Normal
AllPub;1Story;5;TA;Gd;Y;0;Gd;5;Gd;Normal
AllPub;SLvl;5;TA;TA;Y;1;TA;6;TA;Normal
AllPub;1Story;5;TA;Gd;Y;2;TA;7;Gd;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;7;NA;Abnorml
AllPub;2Story;5;TA;Ex;Y;2;Gd;7;NA;Normal
AllPub;2Story;5;TA;Ex;Y;3;Gd;10;Gd;Partial
AllPub;1Story;7;TA;Ex;Y;1;TA;4;NA;Normal
AllPub;1Story;5;TA;Ex;Y;1;Gd;5;NA;Partial
AllPub;2.5Unf;7;TA;TA;N;1;Fa;6;NA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;6;Gd;Normal
